"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
3,7,"ets","infantgts",NA,NA,2624.90450320239,NA,245.087828951101,2943.64313317101,2905.43139313934,2515.34885609581,2969.19127262334
3,8,"ets","infantgts",NA,NA,1541.42087046731,NA,1012.62820123333,2048.34686538707,1998.43702564206,1336.75851683079,2128.46463757516
3,9,"ets","infantgts",NA,NA,11253.7371755,NA,11073.4942919577,11368.6364134773,11462.4282087672,11231.3035396804,11496.738139472
3,10,"ets","infantgts",NA,NA,7818.40747524136,NA,7903.55098393415,8812.39500896469,8661.53025460107,7371.58100839759,8975.84756386519
3,11,"ets","infantgts",NA,NA,20691.0378640397,NA,20383.1236510142,19298.6584527406,19611.8602345679,21192.3251683125,19164.2347126505
3,12,"ets","infantgts",NA,NA,2169.7781075006,NA,2104.95227943824,2075.48163455346,2035.48020738613,2163.72996862478,2047.2428303681
3,13,"ets","infantgts",NA,NA,6244.99084319323,NA,5921.04345667214,5888.39915912119,5933.79039242943,6382.93982949285,5842.78219293923
3,14,"ets","infantgts",NA,NA,184.007413077904,NA,215.528583826479,181.60760253497,175.763195362762,182.472323065188,182.074707050734
3,15,"ets","infantgts",NA,NA,2206.18445767555,NA,3688.45406647246,2581.80787476852,2481.94178145336,1978.21071825242,2638.59566268905
3,16,"ets","infantgts",NA,NA,7277.1773906635,NA,8369.24599062231,5623.33668706373,6161.51899001469,7974.36369167919,5480.99908858838
3,17,"ets","infantgts",NA,NA,334.542034694464,NA,240.647364462232,403.372640439229,426.712851144661,311.796983607325,427.789120025028
3,18,"ets","infantgts",NA,NA,2871.24470334619,NA,3452.98096703316,3010.52774879245,3028.4258743806,2874.02388911993,3084.84021880882
3,19,"ets","infantgts",NA,NA,217.934780192766,NA,258.501988937512,192.147346896501,200.128058922001,225.516077774866,196.667697634326
3,20,"ets","infantgts",NA,NA,2897.66545674977,NA,465.567039393523,3076.128854638,3148.25780742346,2895.08256696563,3183.39663640648
3,21,"ets","infantgts",NA,NA,1352.66123671589,NA,1196.57230420615,1555.2012610181,1533.78726406173,1346.33138711611,1609.17853910863
3,22,"ets","infantgts",NA,NA,1007.50990720513,NA,1008.31707189692,1333.68452691029,1307.30416108156,989.959078484468,1397.89767227199
3,23,"ets","infantgts",NA,NA,10453.5534395319,NA,9171.11757317109,12192.5806254119,12297.5605618133,10421.346127072,12697.8379305487
3,24,"ets","infantgts",NA,NA,11735.3436679277,NA,13489.5755356935,14648.7818622737,14246.8852332281,11670.4118700186,15133.2039026918
3,25,"ets","infantgts",NA,NA,28411.8169072003,NA,31331.7978969915,34089.8524892725,33888.7913313655,28294.7673318361,35251.1917203788
3,26,"ets","infantgts",NA,NA,31139.951624285,NA,40640.1786762892,41934.3610462371,40945.8898572637,30812.6896496932,43962.2629226835
3,27,"ets","infantgts",NA,NA,99259.5141547644,NA,110781.217539476,110406.615894093,113755.540749099,99106.7300974776,112345.281669951
3,28,"ets","infantgts",NA,NA,67052.6967411225,NA,79050.1432844982,78294.7964571509,75863.8716139158,66838.7942372369,79986.7422609572
3,29,"ets","infantgts",NA,NA,93024.0184860174,NA,99572.5057156395,97609.2678209387,96258.9377368256,92980.3198095906,98057.1865213626
3,30,"ets","infantgts",NA,NA,44687.1805597655,NA,40809.8368955694,42148.6263454604,56695.2415336823,44659.7647923482,40928.9151496285
3,31,"ets","infantgts",NA,NA,19097.6097525566,NA,19343.617080214,16387.8921598718,14356.0991296135,19044.5123117269,15879.0529470892
3,32,"ets","infantgts",NA,NA,713.784338617304,NA,875.859217080689,710.366224669302,1249.82578805984,601.367137880864,882.475253922838
3,33,"ets","infantgts",NA,NA,19672.4657762757,NA,23448.2007089831,21642.5393352198,22350.2158161499,19640.8315890813,21933.6830332794
3,34,"ets","infantgts",NA,NA,16126.0919664126,NA,15932.0243941463,16145.71573682,15061.1347745134,16119.6966552459,15807.9583997993
3,35,"ets","infantgts",NA,NA,12500.4058457931,NA,8736.16027415772,8647.7439249378,5991.16749824616,12372.2074190445,7928.24267045115
3,36,"ets","infantgts",NA,NA,2681.03578146594,NA,1554.15273002735,1440.7926794612,2023.10980983685,2427.04883057518,1667.51923797612
3,37,"ets","infantgts",NA,NA,9568.14141678706,NA,10879.4965269576,10805.8761768564,10383.7677438563,9535.99483872221,11246.2656517852
3,38,"ets","infantgts",NA,NA,29630.8105723661,NA,32651.4196813928,31014.7136488263,30408.7268040745,29619.2782379983,30054.8746274765
3,39,"ets","infantgts",NA,NA,33595.2150137993,NA,31468.4295201957,32116.330098053,30419.6527454862,33587.1436195435,31036.7555458865
3,40,"ets","infantgts",NA,NA,7161.73994874198,NA,7513.71222590017,7283.1992658643,6613.90441377422,7156.29715580259,7355.91055893252
3,41,"ets","infantgts",NA,NA,1149.18883670708,NA,1037.44829602934,1104.12919214754,945.135467955443,1144.02481233445,1091.14103446346
3,42,"ets","infantgts",NA,NA,782.652480042298,NA,874.665698794998,760.269035052326,827.35704565273,763.086226943458,757.678245765211
